"일자","충전_효율","주행거리별_온도_합계"
2020-04-30,1575.71174351538,24.5104267140895
2020-05-01,1571.23920750362,27.5526914573406
2020-05-02,1549.47437181318,25.7388484490573
2020-05-03,1408.39753641804,29.4134062465598
2020-05-04,1982.3348832672,28.4684021495312
2020-05-05,1537.04877184783,21.1185223821155
2020-05-06,1819.41608509105,32.5135519132268
2020-05-07,2061.42070898287,33.3399051799356
2020-05-08,2011.17418791373,28.9924795676414
2020-05-09,1601.58711139874,17.8295777316442
2020-05-10,1323.42687565312,19.3209992526888
2020-05-11,1920.42029924274,24.8586694427562
2020-05-12,1873.0473116037,22.0786969954661
2020-05-13,1920.9310686804,26.1125127081549
2020-05-14,1835.91432146033,31.0322572421965
2020-05-15,1885.53069121984,20.6660745548621
2020-05-16,1634.69668609628,21.7835719936538
